question_text,Subject,grade,chapter,question_id,total_attempt,3PL,learning_unit,learning_objective,competency_score,competency_score_range,Bloom_tag,Predicted_competency_score_range
What is the point of intersection in the given figure?,Mathematics,6,Basic geometrical ideas,3508,276,-3.18183455318785,Definition and identification of intersecting lines,"Analyze geometric figures to recognise that two lines do not intersect at more than one point, and that multiple lines can intersect at a single point.",0.960144927536231,90-100%,Analyse,90-100%
What is the point of intersection in the given figure?,Mathematics,6,Basic geometrical ideas,3508,276,-3.18183455318785,Definition and identification of intersecting lines,Distinguish intersecting lines from the given pairs of lines.,0.960144927536231,90-100%,Apply,90-100%
What is the main purpose of the skeletal system?,Biology,5,Super senses,20408,25,-3.17805383034794,Definition of Skeletal System,default,0.96,90-100%,Remember,90-100%
Identify the correct statement about the path of light.,Physics,6,"Light, shadow and reflection",18810,75,-3.17805383034794,Light travels in straight line,Apply the knowledge of cube roots to calculate the cube root of numbers.,0.96,90-100%,Apply,90-100%
Identify the surroundings associated with high humidity.,Biology,6,The Living Organisms — Characteristics and Habitats,5683,25,-3.17805383034794,Definition of habitats and adaptations.,Analyze the challenges in measuring curved lines accurately and propose strategies to improve measurement precision.,0.96,90-100%,Analyse,90-100%
Identify the surroundings associated with high humidity.,Biology,6,The Living Organisms — Characteristics and Habitats,5683,25,-3.17805383034794,Definition of habitats and adaptations.,Use a string and ruler to measure the length of a curved line on a given object or surface.,0.96,50-60%,Apply,90-100%
"On a metal rod four thumb pins are stuck with the help of wax. When the lighted candle is kept near one end of the rod as shown in figure, which pin would fall first and which pin would fall last? ",Physics,7,Heat,965,200,-3.17805383034794,Process of heat conduction,Examine a flower specimen and correctly identify its various parts.,0.96,90-100%,Apply,90-100%
"Renu and Geethu bought kites of different shapes as shown in the given image.Whose kite will fly higher, and why?",Physics,8,Friction ,13953,24,-3.13549421592915,Ways to reduce fluid friction,"Explain how anaerobic respiration in skeletal muscles works, including the conversion of glucose into lactic acid, and why it is used during high-intensity exercise.",0.958333333333333,90-100%,Understand,90-100%
Fill in the blanks with the correct option:The gradual transformation of dead vegetation into ____X____ under high temperatures and pressure below the surface of the earth is called _____Y______.,EVS,8,Coal and petroleum,11120,24,-3.13549421592915,Coal Formation Process (Coalification),Explain how interlocking between two surfaces results in frictional force.,0.958333333333333,90-100%,Understand,90-100%
Riya has filled one bowl with hot water and the other bowl with cold water. She asks her friend Tanya to determine which bowl contains hot water without putting her hands into the water. What should Tanya do to identify the hot water?,Physics,7,Heat,13889,215,-3.13065159145336,Definition of Thermometers,State the properties of square numbers.,0.958139534883721,90-100%,Remember,90-100%
The number of tourists visited India in the month of June is given below.Which country’s tourists visited the most?,Mathematics,6,Knowing our numbers,575,165,-3.11668488397165,Order of whole numbers (upto 9-digit numbers),Arrange a set of given whole numbers in ascending or descending order.,0.957575757575757,90-100%,Apply,90-100%
What is the given angle called?,Mathematics,6,Understanding Elementary Shapes,19986,23,-3.09104245335831,Definition of a straight angle,"List the examples of three-dimensional shapes (cube, cuboid, sphere, cylinder, cone, prism, pyramid).",0.956521739130434,90-100%,Remember,90-100%
"Jyoti  writes the following Roman Numerals:VIII, II, X, IVWhich  of the following shows the sequence of numbers Jyoti wrote?",Mathematics,6,Knowing our numbers,109,183,-3.08534443224367,Roman numerals of numbers,default,0.956284153005464,90-100%,Analyse,90-100%
"If you want to keep leftover soup safe to eat for several days, which method should you use?",Biology,5,Food spoilage and preservation (Mangoes all year round),20574,501,-3.08065814405259,Food Storage and Preservation Basics ,Describe why the sum of the first n odd numbers always results in a square number.,0.956087824351297,90-100%,Understand,90-100%
Which of the given objects can be classified as transparent?,Chemistry,6,Sorting Materials into Groups ,14003,90,-3.06805293513361,Properties of materials-Transparency,Identify examples of foods from different food groups that contribute to a balanced diet and conditions which involve loss of nutrients during food preparation.,0.955555555555555,90-100%,Apply,90-100%
Which of the given objects can be classified as transparent?,Chemistry,6,Sorting Materials into Groups ,14003,90,-3.06805293513361,Properties of materials-Transparency,Explain why a balanced diet is essential for overall health and well-being and also loss of nutrients during food preparation.,0.955555555555555,90-100%,Understand,90-100%
Complete the given sentence:The blue- black colour change in mashed potato after adding iodine solution to it confirms the presence of _____________.,Biology,6,Components of Food ,531,45,-3.06805293513361,Definition of carbohydrates and its qualitative tests.,Explain why the commutative property is important in multiplying whole numbers.,0.955555555555555,90-100%,Understand,90-100%
"Which of the following numbers can be formed using the digits 7, 5 and 9 without repetition?",Mathematics,6,Knowing our numbers,13173,472,-3.06694490177925,Formation of number using given digits,"Analyze the impact of different fermentation conditions (like temperature and time) on the quality of curd, bread, or alcohol.",0.955508474576271,90-100%,Analyse,90-100%
Two lines cross each other at a point. What type of lines are they?,Mathematics,6,Basic geometrical ideas,3223,134,-3.06027079469156,Definition and identification of intersecting lines,Apply the knowledge of lines to identify and represent them in geometric diagrams.,0.955223880597014,90-100%,Apply,90-100%
Which of the following is not a nutrient?,Biology,6,Components of Food ,169,554,-3.05211260699009,"Definition of nutrients, types, and their sources.","Recall the fundamental components of a line graph, such as the x-axis, y-axis, and plotted data points.",0.954873646209386,90-100%,Remember,90-100%
Which of the following is not a nutrient?,Biology,6,Components of Food ,169,554,-3.05211260699009,"Definition of nutrients, types, and their sources.","Recall the fundamental components of a line graph, such as the x-axis, y-axis, and plotted data points.",0.954873646209386,90-100%,Remember,90-100%
Which of the following best describes a line segment?,Mathematics,6,Basic geometrical ideas,1442,310,-3.0513021247088,Definition of line segment,Compare and contrast the properties of points with those of other geometric elements,0.954838709677419,90-100%,Analyse,90-100%
Write the expanded form of the given number.304,Mathematics,6,Knowing our numbers,43,442,-3.04927304048202,Numerical expansion of whole numbers (upto 9-digit numbers),Explain the concept of the expanded form of a whole number and its role in representing the value of each digit within the number,0.954751131221719,90-100%,Understand,90-100%
"Which of the following is an equivalent ratio of 15 : 45, that is obtained after dividing numerator and denominator with the same number?",Mathematics,6,Ratio and proportion,5982,22,-3.04452243772342,Definition of equivalent ratios,Determine the unknown side length if the perimeter or related description of a rectangle is given in context.,0.954545454545454,90-100%,Apply,90-100%
"
In an isosceles triangle, the base angles are equal. Ravi draws an isosceles triangle with its vertex angle twice the base angle. 
What are the measures of the angles of the triangle if the sum of the three angles of the triangle is 180°?
",Mathematics,7,Simple equations,18772,22,-3.04452243772342,Real life application of solving simple equations,Apply the knowledge of constructing double bar graphs to create one based on given data sets.,0.954545454545454,90-100%,Apply,90-100%
"Fill in the blank with the correct option:
The nutrients required by our body are vitamins, fats, proteins, ________ and minerals.",Biology,6,Components of Food ,9878,220,-3.04452243772342,"Definition of nutrients, types, and their sources.",Explain the purpose of constructing a linear graph as a means to visually represent and understand linear relationships.,0.954545454545454,90-100%,Understand,90-100%
Identify the step shown in the given image.,Biology,8,Crop production and management,10305,44,-3.04452243772342,Sowing and selecting seeds for crop production,"Explain how the release of gas, color change, formation of precipitate, and energy changes can signal a chemical change.",0.954545454545454,90-100%,Understand,90-100%
Identify the step shown in the given image.,Biology,8,Crop production and management,10305,44,-3.04452243772342,Sowing and selecting seeds for crop production,"Explain how the release of gas, color change, formation of precipitate, and energy changes can signal a chemical change.",0.954545454545454,90-100%,Understand,90-100%
What causes fruits to spoil and become rotten?,Biology,5,Food spoilage and preservation (Mangoes all year round),20573,501,-3.0341165165623,Food spoilage and its causes,Describe why the sum of the first n odd numbers always results in a square number.,0.954091816367265,90-100%,Understand,90-100%
In which environment do animals typically have thick skin or fur?,Biology,6,The Living Organisms — Characteristics and Habitats,15874,43,-3.02042488614436,Adaptations found in various mountain region animals and plants.,Define what a pinhole camera is.,0.953488372093023,90-100%,Remember,90-100%
Mountain trees are      X           shaped and have              Y            leaves that help them to survive in very cold and windy regions.,Biology,6,The Living Organisms — Characteristics and Habitats,5430,85,-3.00815479355254,Adaptations found in various mountain region animals and plants.,Define what a pinhole camera is.,0.952941176470588,90-100%,Remember,90-100%
An acute angle is an angle which is _______.,Mathematics,6,Understanding Elementary Shapes,20777,21,-2.99573227355399,Definition of an acute angle,Apply the knowledge of circle parts to identify and label them in diagrams.,0.952380952380952,90-100%,Apply,90-100%
Which of the following marked angles is a reflex angle?,Mathematics,6,Understanding Elementary Shapes,21258,21,-2.99573227355399,Definition of a reflex angle,Recall the definition of an acute angled triangle.,0.952380952380952,90-100%,Remember,90-100%
Fill in the blank:,Mathematics,6,Fractions,4885,42,-2.99573227355399,Definition of like and unlike fractions,"Represent various fractions using numbers, figures or words.",0.952380952380952,70-80%,Understand,90-100%
Fill in the blank:,Mathematics,6,Fractions,4885,42,-2.99573227355399,Definition of like and unlike fractions,"Represent various fractions using numbers, figures or words.",0.952380952380952,90-100%,Understand,90-100%
Fill in the blank:,Mathematics,6,Fractions,4885,42,-2.99573227355399,Definition of like and unlike fractions,"Represent various fractions using numbers, figures or words.",0.952380952380952,90-100%,Understand,90-100%
How does data contribute to enhancing educational systems?,Mathematics,6,Data Handling,5501,21,-2.99573227355399,Definition of data and information,Convert unlike fractions to like fractions by finding their equivalent fractions.,0.952380952380952,90-100%,Apply,90-100%
"An elderly man with an old bicycle is feeling uncomfortable because it's hard to pedal, and the bike chain makes a lot of noise when he rides it. Which of the following is the best way to solve his problem?",Physics,8,Friction ,13078,21,-2.99573227355399,Ways to Reduce Friction,"Students will apply their knowledge of unisexual flower, bisexual flower, pollination(both self and cross) and fertilization in plants.",0.952380952380952,90-100%,Apply,90-100%
Which of the following organisms breathe through the gills?,Biology,7,Respiration in Organisms,4343,41,-2.9704144655697,General Mechanism of Breathing in other animals(non-humans),Predict the type of image formed by a convex lens for different object distances.,0.951219512195121,90-100%,Apply,90-100%
What angle is shown by the given clock?,Mathematics,5,Shapes and Angles,1555,429,-2.96674473668073,Definition of a right angle,State that a right angle is an angle that measures exactly 90 degrees.,0.951048951048951,90-100%,Remember,90-100%
Which of the following is not an agricultural practice?,Biology,8,Crop production and management,10279,61,-2.9618307218783,"Definition of Crop, Crop Production, and Agriculture",Apply the concept of crystallization to other substances beyond copper sulfate.,0.950819672131147,90-100%,Apply,90-100%
Which of the following is not an agricultural practice?,Biology,8,Crop production and management,10279,61,-2.9618307218783,"Definition of Crop, Crop Production, and Agriculture",Discuss various attributes/protocol steps of crystallisation process and explain how they corroborates physical change.,0.950819672131147,90-100%,Understand,90-100%
