question_text,Subject,grade,chapter,question_id,total_attempt,3PL,learning_unit,learning_objective,competency_score,competency_score_range,Bloom_tag,Predicted_competency_score_range
Which statement correctly differentiates budding from binary fission in organisms?,Biology,8,Reproduction in Animals,11724,17,-2.77258872223978,"Binary fission and budding in animals
",Illustrate the magnitude and direction of force acting on an object by drawing force arrows on a diagram.,0.941176470588235,90-100%,Apply,90-100%
Which of these demonstrates that whole numbers are not commutative for division?,Mathematics,6,Whole numbers,15488,17,-2.77258872223978,Examination of commutative property for division of whole numbers,"Explain the primary functions of the major male reproductive organs, emphasizing their roles in producing and transporting sperm for fertilization.",0.941176470588235,40-50%,Understand,90-100%
Which of these demonstrates that whole numbers are not commutative for division?,Mathematics,6,Whole numbers,15488,17,-2.77258872223978,Examination of commutative property for division of whole numbers,"Recall the names and locations of the major male reproductive organs in humans, including the testes, epididymis, vas deferens, and penis.",0.941176470588235,90-100%,Remember,90-100%
"During the process of photosynthesis, light or solar energy is converted into 1)_______ and stored in the form of 2)________.",Biology,6,Getting to know plants ,2084,17,-2.77258872223978,Introduction to photosynthesis process in plants,Explain the concept of mixed operations with three or more whole numbers.,0.941176470588235,90-100%,Understand,80-90%
What are all the possible factors of 6?,Mathematics,6,Playing with numbers,1023,16,-2.70805020110221,Factor of number,Explain the concept of the multiplicative identity property in the context of whole numbers.,0.9375,90-100%,Understand,90-100%
What are all the possible factors of 6?,Mathematics,6,Playing with numbers,1023,16,-2.70805020110221,Factor of number,Explain factors as numbers that divide another number without leaving a remainder.,0.9375,90-100%,Understand,90-100%
Which fraction of a complete revolution corresponds to the measurement of a straight angle?,Mathematics,6,Understanding Elementary Shapes,23480,16,-2.70805020110221,Definition of a straight angle,"Demonstrate the ability to distinguish a cube from other three-dimensional shapes based on its faces, edges and vertices.",0.9375,90-100%,Apply,90-100%
Which statement is true about a regular polygon?,Mathematics,8,Understanding Quadrilaterals,20416,16,-2.70805020110221,Definition of regular and irregular polygon,"List the properties of a rectangle related to its sides, angles and diagonals",0.9375,90-100%,Remember,90-100%
What are the small bead-like structures inside the ovary of the flower?,Biology,6,Getting to know plants ,2174,16,-2.70805020110221,A typical plant's flower-structure and function,Identify the key components of an electric bulb and their materials.,0.9375,90-100%,Remember,90-100%
"A teacher provided students with a poster showing different devices used to measure time



Based on your understanding, classify them as modern and ancient devices to measure time.
",Physics,7,Motion and time,16140,16,-2.70805020110221,Time Measurement Devices: Ancient Vs Modern,"Students will define habitats, adaptations, acclimitisation and list examples of each.",0.9375,90-100%,Remember,90-100%
Which of the following are not the parts of the male reproductive system in humans?,Biology,8,Reproduction in Animals,19157,16,-2.70805020110221,Male reproductive system in humans,Describe how and why liquid pressure increases with depth using a water column as an example.,0.9375,90-100%,Understand,90-100%
How many line segments are there in the following figure?,Mathematics,6,Basic geometrical ideas,1162,15,-2.63905732961525,Definition of line segment,Identify and label points in geometric figures and surroundings.,0.933333333333333,90-100%,Apply,90-100%
Which of the following objects does not contain parallel lines?,Mathematics,6,Basic geometrical ideas,1431,15,-2.63905732961525,Definition and identification of parallel lines,Define intersecting lines and point of intersection.,0.933333333333333,90-100%,Remember,90-100%
Observe the given pattern.212 = 4412012 = 4040120012 = 4004001200012 = ___________What is the missing number in the pattern shown?,Mathematics,8,Squares and square roots,11858,15,-2.63905732961525,Patterns in square numbers with certain digit at place value(s),State the law of zero power for whole numbers and its significance.,0.933333333333333,90-100%,Remember,90-100%
Complete the second pair of the series by relating it to the first pair. Plant: vegetable :: animal: _________,Biology,6,Food-where does it come from,342,15,-2.63905732961525,Plants and animals-based food sources,Explain what each segment of a circle graph represents in terms of data.,0.933333333333333,90-100%,Understand,90-100%
"
Which image/s show the phenomenon of a physical change?",Chemistry,7,Physical and chemical changes,3990,15,-2.63905732961525,Introduction to Physical Changes,"Recall/Identify/list various modes of intake of food, including ingestion, filter feeding, suction feeding, etc.",0.933333333333333,90-100%,Remember,90-100%
Which of the following options correctly describes the functions of the ovaries and uterus in the human female reproductive system?,Biology,8,Reproduction in Animals,11732,15,-2.63905732961525,Female reproductive system in humans,State the definition of liquid pressure/hydrostatic pressure.,0.933333333333333,90-100%,Remember,90-100%
What is the measure of the supplement of the given angle?,Mathematics,7,Lines and Angles,3412,14,-2.56494935746153,Definition of supplementary angles,State the definition of frequency when discussing data analysis.,0.928571428571428,90-100%,Remember,90-100%
What is the measure of the supplement of the given angle?,Mathematics,7,Lines and Angles,3412,14,-2.56494935746153,Definition of supplementary angles,State the definition of frequency when discussing data analysis.,0.928571428571428,70-80%,Remember,90-100%
What is the measure of the supplement of the given angle?,Mathematics,7,Lines and Angles,3412,14,-2.56494935746153,Definition of supplementary angles,State the definition of frequency when discussing data analysis.,0.928571428571428,90-100%,Remember,90-100%
What is the measure of the supplement of the given angle?,Mathematics,7,Lines and Angles,3412,14,-2.56494935746153,Definition of supplementary angles,State the definition of frequency when discussing data analysis.,0.928571428571428,70-80%,Remember,90-100%
What is the measure of the supplement of the given angle?,Mathematics,7,Lines and Angles,3412,14,-2.56494935746153,Definition of supplementary angles,"Analyse the components of simple equations, breaking down equations into variables, constants, and mathematical operations, to understand their structure.",0.928571428571428,60-70%,Analyse,70-80%
What is the measure of the supplement of the given angle?,Mathematics,7,Lines and Angles,3412,14,-2.56494935746153,Definition of supplementary angles,"Analyse the components of simple equations, breaking down equations into variables, constants, and mathematical operations, to understand their structure.",0.928571428571428,70-80%,Analyse,70-80%
"Complete the given statement: In _______ and gases, the heat is transferred by __________.",Physics,7,Heat,970,14,-2.56494935746153,Process of convection,Examine a flower specimen and correctly identify its various parts.,0.928571428571428,90-100%,Apply,90-100%
"A student fills a bowl with hot water and places a steel spoon and a plastic spoon in the bowl, immersing only one end of each spoon in the water. Then, he places a piece of butter on the other end of each spoon, as shown.Which spoon’s butter will melt after some time and why?",Physics,7,Heat,14390,14,-2.56494935746153,Process of heat conduction,Examine a flower specimen and correctly identify its various parts.,0.928571428571428,90-100%,Apply,90-100%
"A student fills a bowl with hot water and places a steel spoon and a plastic spoon in the bowl, immersing only one end of each spoon in the water. Then, he places a piece of butter on the other end of each spoon, as shown.Which spoon’s butter will melt after some time and why?",Physics,7,Heat,14390,14,-2.56494935746153,Process of heat conduction,Examine a flower specimen and correctly identify its various parts.,0.928571428571428,80-90%,Apply,90-100%
Match the animals in Column I with their mode of feeding in Column II.,Biology,7,Nutrition in animals,9425,14,-2.56494935746153,"Ingestion, filter feeding, suction feeding, and phagocytosis",Students will describe the principle behind each method of separation.,0.928571428571428,80-90%,Understand,80-90%
Match the animals in Column I with their mode of feeding in Column II.,Biology,7,Nutrition in animals,9425,14,-2.56494935746153,"Ingestion, filter feeding, suction feeding, and phagocytosis",Students will describe the principle behind each method of separation.,0.928571428571428,70-80%,Understand,80-90%
Match the animals in Column I with their mode of feeding in Column II.,Biology,7,Nutrition in animals,9425,14,-2.56494935746153,"Ingestion, filter feeding, suction feeding, and phagocytosis","Students will identify handpicking, threshing, winnowing, and sieving as methods of separating substances.",0.928571428571428,80-90%,Remember,80-90%
Match the animals in Column I with their mode of feeding in Column II.,Biology,7,Nutrition in animals,9425,14,-2.56494935746153,"Ingestion, filter feeding, suction feeding, and phagocytosis","Students will identify handpicking, threshing, winnowing, and sieving as methods of separating substances.",0.928571428571428,80-90%,Remember,80-90%
Match the animals in Column I with their mode of feeding in Column II.,Biology,7,Nutrition in animals,9425,14,-2.56494935746153,"Ingestion, filter feeding, suction feeding, and phagocytosis","Students will identify handpicking, threshing, winnowing, and sieving as methods of separating substances.",0.928571428571428,90-100%,Remember,80-90%
"The teacher gives an assignment to four students. In this assignment, the teacher asked the students to write the correct chemical equation of anaerobic respiration in yeasts. The equations written by each student are given below:

After reading the equation of each student, who will most likely get full marks on the assignment and why?",Biology,7,Respiration in Organisms,18850,14,-2.56494935746153,Anaerobic Respiration in Yeast,Define transfer of heat and list the three modes of transfer.,0.928571428571428,90-100%,Remember,90-100%
The bar plot below compares the volume of air inhaled normally(N) by a person versus two conditions(C1 and C2).Which condition corresponds to a deep inhalation(or breathing) event?,Biology,7,Respiration in Organisms,4554,14,-2.56494935746153,Definition of Breathing and Breathing Rate,Summarize the steps involved in the convection cycle.,0.928571428571428,90-100%,Understand,90-100%
Meha studies that substances that taste sour are generally acidic in nature. The table lists a few substances found in the kitchen.Which of these substances are not acidic in nature? ,Chemistry,7,Acids bases and salts,1864,14,-2.56494935746153,Definition of acids,Describe how to measure the time period of a pendulum.,0.928571428571428,90-100%,Understand,90-100%
Observe the image carefully. Identify the names of creatures whose attack on the crops can be controlled using the activity shown in the image.,Biology,8,Crop production and management,10437,14,-2.56494935746153,Methods of Crop Protection in agricultural practices,Analyse given scenarios in the light of the characteristics of the physical changes.,0.928571428571428,90-100%,Analyse,90-100%
Which of the following solutions is used for testing the presence of starch in food items?,Biology,6,Components of Food ,664,14,-2.56494935746153,Definition of carbohydrates and its qualitative tests.,Recall the commutative property for multiplication of whole numbers.,0.928571428571428,90-100%,Remember,90-100%
Select a number that is not a factor of 95.,Mathematics,6,Playing with numbers,18391,13,-2.484906649788,Factor of number,Deduce the various properties of factor of a number (ex: every factor of a number is less than or equal to the given number.),0.923076923076923,90-100%,Analyse,90-100%
"Vinay writes the given numbers in his book. 12, 16, 22, 14, 18The given numbers are ____.",Mathematics,6,Playing with numbers,18448,13,-2.484906649788,Even number,Define and list examples of composite numbers.,0.923076923076923,90-100%,Remember,90-100%
Which of the following options demonstrates the multiplicative identity of integers?,Mathematics,7,Integers,13052,13,-2.484906649788,Multiplicative identity of integers,Solve real life problems involving ratios such as sharing things based on certain ratios.,0.923076923076923,90-100%,Apply,90-100%
Fill in the blank with the most appropriate unit:A Formula 1 car is moving at a speed of 400 ___ on the racing track.,Physics,7,Motion and time,16108,13,-2.484906649788,Units of Speed,Students will use examples to illustrate the adaptations of mountain region animals and plants in response to their environment.,0.923076923076923,90-100%,Apply,90-100%
Name the device that records the speed of a vehicle in km/h.,Physics,7,Motion and time,16116,13,-2.484906649788,Speed Measuring Devices in Vehicles,Students will describe the flow of energy in a food chain.,0.923076923076923,90-100%,Understand,90-100%
"Consider two activities: 
(1) Melting a steel box
(2) Burning a steel box Which activity comes under the category of chemical change?",Chemistry,7,Physical and chemical changes,4107,13,-2.484906649788,Distinguishing Physical and Chemical Changes,Represent motion data on a graph.,0.923076923076923,90-100%,Understand,90-100%
Which of the following points should be included while making a poster on endemic species?,Biology,8,Conservation Of Plants And Animals,18051,13,-2.484906649788,Definition of endemic species and its causes of extinction.,Explain the process of neutralization involving acids and bases.,0.923076923076923,90-100%,Understand,90-100%
The table shows three processes carried out by farmers after their crops mature.What is the correct sequence of the steps after the maturation of the crops?,Biology,8,Crop production and management,11622,13,-2.484906649788,Harvesting and storage in crop production,Describe the characteristics of a physical change.,0.923076923076923,90-100%,Understand,90-100%
Fill in the blank with the correct option:PCRA advises people on how to save _________ while driving vehicles.,EVS,8,Coal and petroleum,11216,13,-2.484906649788,Conservation of resources,Identify the location and name of the eardrum in the auditory system.,0.923076923076923,90-100%,Remember,90-100%
"John is concerned about his son who is coughing uncontrollably. He checks if he has a fever by placing a thermometer under his tongue and checking its readings after some time.
How would the thermometer help John to know if his son has a fever?",Physics,7,Heat,14379,13,-2.484906649788,Definition of Thermometers,State the properties of square numbers.,0.923076923076923,90-100%,Remember,90-100%
A student begins to feel feverish during a lab session. Another student recommends using a laboratory thermometer to check their body temperature. The image displays both clinical and laboratory thermometers.Can the laboratory thermometer be used to measure body temperature?,Physics,7,Heat,14384,13,-2.484906649788,Correct Way of using Laboratory thermometer,Use phenolphthalein to identify the acidic or basic nature of a given solution.,0.923076923076923,90-100%,Apply,90-100%
"The world’s tallest statue, the Statue of Unity's height is 182 metres. What will be the approximate height if it is rounded off to the nearest ten?",Mathematics,6,Knowing our numbers,13487,12,-2.39789527279837,Estimation of whole numbers to the nearest place by rounding off,Solve problems involving rounding off whole numbers.,0.916666666666666,90-100%,Apply,90-100%
A polygon with three sides whose all the sides are equal is called __________,Mathematics,6,Understanding Elementary Shapes,1584,12,-2.39789527279837,Definition of an equilateral triangle,Measure the given angle using a protractor.,0.916666666666666,90-100%,Understand,90-100%
Which of the given figures have the perimeters equal in measure?    ,Mathematics,6,Mensuration,6519,12,-2.39789527279837,Perimeter of closed figures,Analyse the relationship between the various components of mixed units of mass and their corresponding values in decimals of higher units.,0.916666666666666,90-100%,Analyse,90-100%
Fill in the blank with the correct option:An ice-cream van is roaming around the playground from point A throughout the boundary of the road and again reaches point A (path taken is shown in red). The distance covered by the ice-cream van in one complete round is known as the ________ of the closed shape formed by the path taken.         ,Mathematics,6,Mensuration,6522,12,-2.39789527279837,Perimeter of closed figures,Explain the rationale behind conversion between mixed units of currency and decimals of higher units.,0.916666666666666,90-100%,Understand,90-100%
What will be the perimeter of a rectangle given below if the length of the rectangle is 1 inch more than the width?     ,Mathematics,6,Mensuration,6245,12,-2.39789527279837,Perimeter of a rectangle,Describe how adding decimal numbers involves aligning digits based on their place values and adding column by column.,0.916666666666666,90-100%,Understand,90-100%
Which one of the following situations represents the ratio ‘1 : 1’?,Mathematics,6,Ratio and proportion,6024,12,-2.39789527279837,Definition of ratio,"Describe how a bar graph is constructed by organizing data into categories, establishing a scale on the vertical/horizontal axis and using vertical/horizontal bars to visually represent quantities.",0.916666666666666,90-100%,Understand,90-100%
Consider the given diagram.Which of the following is adjacent to ∠COD?,Mathematics,7,Lines and Angles,3432,12,-2.39789527279837,Definition of adjacent angles,Express the given statements in simple equations.,0.916666666666666,90-100%,Apply,90-100%
The image shows a plant with fruits.In which category this plant belongs?,Biology,6,Getting to know plants ,1812,12,-2.39789527279837,"Herbs, shrubs, trees, and creepers and climbers.","Recall and state what a ""joint"" is in the context of the human body, using simple language.",0.916666666666666,90-100%,Remember,90-100%
"While we are separating grain from husk, which of the following purposes of separation is being fulfilled?     I.    to remove impurities and throw itII.   to remove unwanted substances and use        them for other purposesIII.  to obtain one useful substance only                           ",Chemistry,6,Separation of Substances,4201,12,-2.39789527279837,Purpose for the separation of substances,List common uses of distance measurement in everyday life.,0.916666666666666,90-100%,Remember,90-100%
Fill in with the correct option:Small pieces of stones can be separated from pulses before cooking without using any tool by the method called ______________.,Chemistry,6,Separation of Substances,1294,12,-2.39789527279837,"Handpicking, threshing, winnowing, and sieving",Identify real-world examples of objects moving in a straight line.,0.916666666666666,90-100%,Remember,90-100%
Observe the given table and identify the INCORRECT combination.,Chemistry,6,Sorting Materials into Groups ,8144,12,-2.39789527279837,Nature of objects around us at material level and grouping of materials,Students will apply knowledge of nutrients-rich food requirements in real-life scenario.,0.916666666666666,90-100%,Apply,70-80%
Complete the second pair by relating it to the first pair. Sink: metal :: float:              ,Chemistry,6,Sorting Materials into Groups ,858,12,-2.39789527279837,Properties of materials-Floats or sinks in water,Students will list the major types of nutrients and their primary sources in food.,0.916666666666666,90-100%,Remember,90-100%
What does the term 'solubility in water' refer to?,Chemistry,6,Sorting Materials into Groups ,12615,12,-2.39789527279837,Properties of materials-Solubility in water,Students will match vitamins to their corresponding deficiency diseases.,0.916666666666666,90-100%,Apply,90-100%
Which of the following statements is NOT true?,Mathematics,6,Playing with numbers,904,12,-2.39789527279837,Multiple of number,Solve real-world and arithmetic problems employing the concept of multiples.,0.916666666666666,70-80%,Apply,60-70%
Which of the following statements is NOT true?,Physics,7,Heat,904,12,-2.39789527279837,Sense of touch as temperature sensor,"Explain how roots are modified for storage, support, and parasitic functions.",0.916666666666666,90-100%,Understand,90-100%
Fill in the blank with the correct option:The length of the longest organ in the human digestive system is________.,Biology,7,Nutrition in animals,9546,12,-2.39789527279837,Definition of human digestive system,"Students will describe the situations where sedimentation, decantation, and filtration are used.",0.916666666666666,90-100%,Understand,90-100%
"The image shows the word equation of the photosynthetic reaction.Complete the equation by providing the names of X, Y, and Z.",Biology,7,Nutrition in plants,375,12,-2.39789527279837,"Elements in the Photosynthesis(stomata, vessels, pigments)",Explain how the property of hardness or softness can be used to categorize and group materials.,0.916666666666666,90-100%,Understand,90-100%
How do we convert an improper fraction into a mixed fraction?,Mathematics,6,Fractions,20984,12,-2.39789527279837,Conversion of improper fraction to mixed fraction ,"Explain how factors like temperature, oxygen supply, and fuel properties influence combustion types.",0.916666666666666,90-100%,Apply,90-100%
Why do we do the starch test on the given food?,Biology,6,Components of Food ,9676,12,-2.39789527279837,Definition of carbohydrates and its qualitative tests.,Explain why the commutative property is important in multiplying whole numbers.,0.916666666666666,90-100%,Understand,90-100%
The image shows the impression of the peepal leaf. What can likely be concluded about the venation of the leaf?,Biology,6,Getting to know plants ,1707,12,-2.39789527279837,Plant's leaf structure and venation pattern,"Apply knowledge of sectors to identify them in real-world objects and images, recognizing their shape and characteristics.",0.916666666666666,90-100%,Apply,90-100%
The angle represented by the arm of the boy in the given picture is                    .,Mathematics,6,Understanding Elementary Shapes,1560,11,-2.30258509299404,"Relationship between right angles, straight angles, and complete angles",Compare circles with other types of two-dimensional shapes.,0.909090909090909,90-100%,Understand,90-100%
The angle represented by plier in the given picture is  _________.,Mathematics,6,Understanding Elementary Shapes,1615,11,-2.30258509299404,"Relationship between right angles, straight angles, and complete angles",Apply the knowledge of circle definition to identify circles in diagrams.,0.909090909090909,90-100%,Apply,90-100%
Which of the following is the measure of an acute angle?,Mathematics,6,Understanding Elementary Shapes,20809,11,-2.30258509299404,Definition of an acute angle,"Analyse relationships between circle elements, like arc and chord, radius and diameter, circle, semi-circle, and quarter of a circle in geometric configurations.",0.909090909090909,90-100%,Analyse,90-100%
John estimated the angle between the arms of the scissor as 35° Bob estimated the angle between the arms of the scissor as 28°.Who among them estimated the angle closer to the actual angle?,Mathematics,6,Understanding Elementary Shapes,1573,11,-2.30258509299404,Measurement of angles using protractor,Apply the knowledge of circle parts to identify and label them in diagrams.,0.909090909090909,90-100%,Apply,90-100%
A reflex angle is an angle which is _______.,Mathematics,6,Understanding Elementary Shapes,21256,11,-2.30258509299404,Definition of a reflex angle,Recall the definition of an acute angled triangle.,0.909090909090909,90-100%,Remember,90-100%
A straight angle is _____ revolution.,Mathematics,6,Understanding Elementary Shapes,19990,11,-2.30258509299404,Definition of a straight angle,"Identify and count the number of faces, edges, and vertices of three-dimensional shape-cube",0.909090909090909,90-100%,Understand,90-100%
Which one of the following types of ratios are in proportion?,Mathematics,6,Ratio and proportion,6101,11,-2.30258509299404,Definition of proportion,"Calculate the perimeter of a rectangle if length and width, or the relation between them, are given.",0.909090909090909,90-100%,Understand,90-100%
2x × (6y − 4) = _____ + (2x × (−4)),Mathematics,8,Algebraic expressions and identities,15083,11,-2.30258509299404,Multiplication of monomial by binomial,"Explain how linear equations in one variable are used to model and solve problems in different scenarios, such as calculating ages, finding unknown numbers, determining perimeters and handling currency notes.",0.909090909090909,90-100%,Understand,90-100%
"
Consider the following statements.
Statement I: Negative numbers can be represented using a ‘–’ sign.
Statement II: Negative numbers are smaller than zero. Which of these statements is/are correct?
",Mathematics,6,Integers,20938,11,-2.30258509299404,Definition of negative numbers,Explain the concept of a random experiment and how it relates to situations where outcomes are uncertain.,0.909090909090909,90-100%,Understand,90-100%
A group of students discussed the definitions of joints and their responses are listed below.Student 1: Joints are the hard and non-flexible parts of the human skeleton. Student 2: Joints are the points where two or more muscles meet each other. Student 3: Joints are the points where two or more bones meet each other.Student 4: Joints are the strong fibrous tissues around the bones.  Which student has made a correct statement about joints?,Biology,5,Super senses,17678,11,-2.30258509299404,Definition of Joints in Humans,Explain why it's interesting and useful to express the square of an odd number as the sum of two consecutive positive integers.,0.909090909090909,90-100%,Understand,90-100%
"For an activity, a student identified different scenarios where various objects exhibit the same type of motion:How is the motion of these objects similar?",Physics,6,Motion and Measurement ,21285,11,-2.30258509299404,Understanding the Basics of Oscillatory Motion,Explain the concept of lateral surface area of a cuboid.,0.909090909090909,90-100%,Understand,90-100%
"For an activity, a student identified different scenarios where various objects exhibit the same type of motion:How is the motion of these objects similar?",Physics,6,Motion and Measurement ,21285,11,-2.30258509299404,Understanding the Basics of Oscillatory Motion,Explain the concept of lateral surface area of a cube.,0.909090909090909,60-70%,Understand,90-100%
"For an activity, a student identified different scenarios where various objects exhibit the same type of motion:How is the motion of these objects similar?",Physics,6,Motion and Measurement ,21285,11,-2.30258509299404,Understanding the Basics of Oscillatory Motion,Apply the formula to find the total surface area of a cube with given dimensions.,0.909090909090909,80-90%,Apply,80-90%
Human knees are an example of the _________ joint.,Biology,6,Body Movements,2892,11,-2.30258509299404,"Hinge, pivotal, fixed, gliding, and ball and socket.",Describe the concept of adding large numbers expressed using exponents,0.909090909090909,90-100%,Understand,90-100%
A student marks a starting line and a finishing line on a plane surface and measures the distance between the lines with a ruler as 20 metres. The student then rolls a marble from the starting line and measures the time taken for it to reach the finishing line with a stopwatch as 5 seconds. What is the speed of the marble?,Physics,7,Motion and time,16145,11,-2.30258509299404,Determining Speed of a Rolling Object using Ruler and Stopwatch,Students will demonstrate their understanding of these characteristics by providing clear examples from a diverse range of living and non-living things.,0.909090909090909,70-80%,Apply,70-80%
A student marks a starting line and a finishing line on a plane surface and measures the distance between the lines with a ruler as 20 metres. The student then rolls a marble from the starting line and measures the time taken for it to reach the finishing line with a stopwatch as 5 seconds. What is the speed of the marble?,Physics,7,Motion and time,16145,11,-2.30258509299404,Determining Speed of a Rolling Object using Ruler and Stopwatch,Students will demonstrate their understanding of these characteristics by providing clear examples from a diverse range of living and non-living things.,0.909090909090909,90-100%,Apply,70-80%
"Jack knows the concept of symbiotic relationships very well. To make his friend Michael understand the concept, he used an example of bees and flowers where bees collect nectar from flowers for food, and in the process, simultaneously  pollinate the flowers, helping their reproduction. What other example can Jack use to explain this concept to Michael?",Biology,7,Nutrition in plants,14086,11,-2.30258509299404,Symbiotic Relationship between plants and bacteria,"Recall and list three economic benefits provided by forests, such as timber, medicinal plants, and non-timber forest products.",0.909090909090909,90-100%,Remember,90-100%
How does a fish gives out carbon dioxide into the water?,Biology,7,Respiration in Organisms,4659,11,-2.30258509299404,General Mechanism of Breathing in other animals(non-humans),Analyze the factors affecting the size and position of the image formed by a convex lens.,0.909090909090909,90-100%,Analyse,90-100%
Consider the following activities:1. Painting a piece of wood2. Burning a piece of woodWhich of the above activity comes under the category of chemical change?,Chemistry,7,Physical and chemical changes,4057,11,-2.30258509299404,Effects Indicating Chemical Changes,Explain the process of measuring speed using a ruler and stopwatch.,0.909090909090909,90-100%,Understand,90-100%
"A farmer tasked his son with growing crops in his field. For saving time, his son directly added seeds to the soil and watered the field. He missed the step of preparing the soil before adding seeds. Why do you think it's necessary to prepare the soil?",Biology,8,Crop production and management,12851,11,-2.30258509299404,Soil preparation for crop production,Explain the characteristics of each type of change and their implications.,0.909090909090909,90-100%,Understand,90-100%
"The five-digits number 81,720 is expanded as:",Mathematics,6,Knowing our numbers,13648,10,-2.19722457733621,Interpretation of whole number in numerical form (upto 9-digit numbers) into number names,Apply the rules of writing numbers in words to convert given numerical values into word format.,0.9,80-90%,Apply,80-90%
Consider the given number line.Which whole number does point Q represent?,Mathematics,6,Whole numbers,15625,20,-2.19722457733621,Representation of whole numbers on a number line,"Analyse the relationship between the position of whole numbers on a number line and their numerical values, identifying patterns and intervals.",0.9,80-90%,Analyse,70-80%
"Soni owns four pairs of shoes, priced as follows:Out of the pairs of shoes Soni owns, how many are priced at amounts divisible by 5?",Mathematics,6,Playing with numbers,17021,20,-2.19722457733621,Test for divisibility by 5,Apply the rule for divisibility by 4 to determine if a number is divisible by 4 or not.,0.9,80-90%,Apply,80-90%
"If 12.6 ÷ 3 = Q, then Q = ?",Mathematics,7,Fractions and Decimals,5176,10,-2.19722457733621,Division of a decimal number by a whole number,List the rules deduced from multiplication of integers for dividing integers with like and unlike signs.,0.9,80-90%,Remember,80-90%
"The rainfall (in cm) in two cities over a span of five months is depicted by the double bar graph.

What is the difference in the rainfall received in Cities P and Q in March?",Mathematics,7,Data Handling,18155,20,-2.19722457733621,Interpretation of a double bar graph,State the various methods to multiply decimal numbers by other decimal numbers.,0.9,80-90%,Remember,80-90%
"If 2b + 2 = 4, then what is the value of b?",Mathematics,7,Simple equations,2749,10,-2.19722457733621,Solution of a simple equation by transpose method,Apply the concept of median of even/odd number of observations to find the median of a given data set.,0.9,80-90%,Apply,80-90%
